Text,Label
"Senior HR at a tech firm",Pro
"Looking for engineering talent",Pro
"HR division, searching for engineers",Pro
"Hiring manager for mechanical roles",Pro
"Recruiting engineers, HR department",Pro
"Recruiter from [Company Name]",Pro
"Searching for candidates in engineering",Pro
"Technical recruiter for a project",Pro
"Head of recruitment for engineers",Pro
"HR team, need candidates for tech roles",Pro
"Looking for engineers for a new project",Pro
"Talent acquisition for mechanical engineers",Pro
"Hiring manager, mechanical engineering roles",Pro
"Head of HR, need engineering talent",Pro
"HR department at [Company], hiring",Pro
"Scouting for engineers, HR here",Pro
"Looking for tech talent, HR recruiter",Pro
"Recruiter at [Tech Startup]",Pro
"HR at a consulting firm, checking profiles",Pro
"HR team, seeking candidates",Pro
"Recruiter from [Company], need engineers",Pro
"Hiring manager, reviewing for tech roles",Pro
"Technical recruiter at [Large Firm]",Pro
"Scouting for talent, HR division",Pro
"HR at a mechanical engineering company",Pro
"Talent acquisition for tech projects",Pro
"HR at [Consulting Firm], looking for engineers",Pro
"Senior recruiter, hiring for engineers",Pro
"HR from [Large Tech Company]",Pro
"Looking for candidates for engineering",Pro
"Recruiting for R&D engineering roles",Pro
"Senior hiring manager at [Company]",Pro
"HR at [Engineering Firm], recruiting",Pro
"HR, looking for tech talent",Pro
"Seeking candidates for engineering roles",Pro
"Hiring for mechanical engineers",Pro
"HR looking for R&D candidates",Pro
"Hiring manager for mechanical engineering",Pro
"Recruiting for multiple tech roles",Pro
"Hiring engineers at [Company Name]",Pro
"HR recruiter at [Consultancy]",Pro
"Recruiting talent for mechanical roles",Pro
"HR at a mechanical engineering startup",Pro
"HR at [Engineering Startup]",Pro
"Hiring manager, mechanical roles open",Pro
"HR department hiring mechanical engineers",Pro
"Scouting for talent in engineering",Pro
"Looking for R&D engineers, HR here",Pro
"Recruiting engineers at [Company]",Pro
"Looking for a mechanical engineer",Pro
"HR recruiting for an engineering position",Pro
"Searching for talent in engineering",Pro
"Hiring engineers at a consulting firm",Pro
"HR team reviewing profiles for engineers",Pro
"Talent acquisition manager, looking for engineers",Pro
"Hiring for a mechanical engineering role",Pro
"HR at [Tech Company], need engineers",Pro
"HR, searching for tech candidates",Pro
"Hiring for an engineering role",Pro
"Recruiter at [Startup], looking for talent",Pro
"Looking for a mechanical engineering hire",Pro
"HR from a mechanical engineering firm",Pro
"Hiring for tech roles at [Company]",Pro
"Hiring manager, reviewing mechanical candidates",Pro
"HR recruiter at [Engineering Company]",Pro
"Looking for engineers for R&D roles",Pro
"HR at [Tech Company], recruiting engineers",Pro
"Hiring for multiple engineering roles",Pro
"HR, reviewing candidates for tech roles",Pro
"Looking for engineers for a project",Pro
"HR recruiter looking for talent",Pro
"Seeking engineering candidates",Pro
"Talent acquisition at [Engineering Firm]",Pro
"Hiring manager, need engineering talent",Pro
"Scouting talent for an engineering team",Pro
"Hiring engineers for a tech project",Pro
"Looking for tech candidates, HR division",Pro
"HR, recruiting for an engineering project",Pro
"Searching for engineers for a new project",Pro
"Scouting for talent in mechanical roles",Pro
"Technical recruiter for a mechanical engineer",Pro
"Looking for candidates in mechanical engineering",Pro
"Hiring manager, recruiting engineers",Pro
"Talent acquisition at [Consulting Firm]",Pro
"Hiring mechanical engineers for R&D",Pro
"HR recruiter at a startup",Pro
"Technical recruiter, looking for engineers",Pro
"Hiring engineers for a new project",Pro
"Searching for engineering candidates",Pro
"HR team at [Tech Firm], recruiting",Pro
"Looking for engineers for a new role",Pro
"Technical recruiter for a mechanical engineering role",Pro
"Talent acquisition for engineers",Pro
"Hiring engineers at [Company]",Pro
"Looking for engineering candidates",Pro
"Recruiting mechanical engineers",Pro
"HR team at [Engineering Firm]",Pro
"Hiring manager for mechanical roles",Pro
"HR, reviewing profiles for a project",Pro
"Recruiting mechanical engineers for R&D",Pro
"Looking for engineering talent for a project",Pro
"Technical recruiter, hiring engineers",Pro
"Searching for candidates for mechanical engineering roles",Pro
"Hiring engineers for mechanical roles",Pro
"HR, recruiting for a tech project",Pro
"Technical recruiter for mechanical roles",Pro
"HR recruiter for R&D positions",Pro
"Talent acquisition for mechanical engineering roles",Pro
"Looking for candidates for a tech project",Pro
"HR at [Company]",Pro
"Human Resources department",Pro
"Talent acquisition manager",Pro
"In Human Resources at [Company]",Pro
"Recruiter from [Company]",Pro
"Recruitment specialist",Pro
"Working in Human Resources",Pro
"Manager of recruitment",Pro
"Talent scout, HR division",Pro
"In charge of hiring at [Company]",Pro
"HR team member at [Company]",Pro
"Head of Human Resources",Pro
"Human Resources specialist",Pro
"Talent manager at [Company]",Pro
"Recruitment lead at [Company]",Pro
"HR business partner",Pro
"Human Resources consultant",Pro
"Recruitment advisor at [Company]",Pro
"HR associate",Pro
"Human Resources manager at [Company]",Pro
"Recruitment team at [Company]",Pro
"Senior HR specialist",Pro
"In charge of recruitment",Pro
"Talent acquisition lead",Pro
"Recruitment lead at [Tech Firm]",Pro
"HR consultant at [Company]",Pro
"Talent acquisition at [Consulting Firm]",Pro
"Recruitment coordinator",Pro
"Senior Human Resources manager",Pro
"Working in recruitment at [Company]",Pro
"Manager in Human Resources",Pro
"Talent advisor",Pro
"Recruitment partner at [Company]",Pro
"HR director at [Company]",Pro
"Talent development manager",Pro
"HR recruiter at [Consulting Firm]",Pro
"Human Resources director",Pro
"Talent acquisition director",Pro
"Senior recruiter, HR team",Pro
"Head of hiring at [Company]",Pro
"Director of talent management",Pro
"HR professional",Pro
"In recruitment at [Tech Firm]",Pro
"Talent recruiter",Pro
"Talent acquisition partner",Pro
"Human Resources officer",Pro
"Head of recruitment",Pro
"Senior HR consultant",Pro
"Talent specialist",Pro
"Talent acquisition team lead",Pro
"HR coordinator at [Company]",Pro
"Head of HR at [Company]",Pro
"Recruitment officer",Pro
"Talent lead at [Tech Company]",Pro
"Head of talent acquisition",Pro
"Senior HR partner",Pro
"Recruitment professional at [Company]",Pro
"HR consultant at [Consulting Firm]",Pro
"Manager of talent acquisition",Pro
"Senior Human Resources consultant",Pro
"Human Resources lead at [Company]",Pro
"HR executive at [Company]",Pro
"Talent scout at [Tech Company]",Pro
"Senior recruiter at [Company]",Pro
"Human Resources advisor",Pro
"Talent sourcing specialist",Pro
"Manager in recruitment at [Company]",Pro
"Senior HR advisor",Pro
"Talent coordinator",Pro
"Recruitment manager at [Company]",Pro
"HR recruitment partner",Pro
"Recruitment consultant at [Company]",Pro
"Talent acquisition officer",Pro
"HR business partner at [Company]",Pro
"Talent director at [Company]",Pro
"HR team lead",Pro
"Human Resources professional",Pro
"Senior recruiter at [Consulting Firm]",Pro
"Recruitment specialist at [Company]",Pro
"Talent management at [Company]",Pro
"HR recruitment lead",Pro
"Talent acquisition consultant",Pro
"Senior recruiter at [Tech Firm]",Pro
"HR specialist, recruiting",Pro
"Talent acquisition manager at [Consultancy]",Pro
"HR officer at [Company]",Pro
"Head of Human Resources, recruiting",Pro
"Recruitment manager at [Consultancy]",Pro
"Human Resources coordinator",Pro
"HR director, talent acquisition",Pro
"Talent acquisition executive",Pro
"Human Resources associate at [Company]",Pro
"Senior HR recruitment advisor",Pro
"Talent lead at [Consultancy]",Pro
"HR recruitment consultant",Pro
"Talent acquisition partner at [Tech Firm]",Pro
"HR operations lead",Pro
"Recruitment lead, talent management",Pro
"Human Resources director at [Company]",Pro
"HR business advisor",Pro
"Talent management officer",Pro
"Human Resources, hiring at [Company]",Pro
"Talent acquisition at [Tech Startup]",Pro
"Recruitment operations manager",Pro
"HR executive, reviewing profiles",Pro
"Talent sourcing lead",Pro
"Senior HR manager at [Company]",Pro
"Human Resources executive",Pro
"Head of recruitment operations",Pro
"Talent management lead at [Consultancy]",Pro
"HR operations manager",Pro
"Recruitment coordinator at [Tech Company]",Pro
"Senior Human Resources partner",Pro
"HR consultant, recruiting",Pro
"Talent acquisition advisor",Pro
"HR recruitment executive at [Company]",Pro
"Talent acquisition associate at [Company]",Pro
"Human Resources manager, hiring",Pro
"Head of HR operations",Pro
"HR partner, reviewing profiles",Pro
"Talent recruiter at [Tech Company]",Pro
"Recruitment consultant, HR team",Pro
"Human Resources business partner",Pro
"HR lead at [Consulting Firm]",Pro
"Talent management partner",Pro
"Recruitment lead, HR department",Pro
"Talent acquisition lead at [Company]",Pro
"Senior recruitment advisor",Pro
"Talent management executive",Pro
"Human Resources officer at [Company]",Pro
"HR director, recruiting",Pro
"Talent acquisition coordinator at [Company]",Pro
"Recruitment officer, HR team",Pro
"HR lead at [Tech Firm]",Pro
"Recruitment executive at [Company]",Pro
"Senior talent manager at [Consultancy]",Pro
"HR operations director",Pro
"Talent management advisor",Pro
"Senior recruitment coordinator",Pro
"HR consultant, reviewing candidates",Pro
"Talent sourcing advisor at [Company]",Pro
"Human Resources associate, recruiting",Pro
"Talent management consultant at [Tech Firm]",Pro
"HR recruitment officer",Pro
"Talent acquisition specialist at [Consulting Firm]",Pro
"Human Resources recruitment lead",Pro
"Senior HR advisor, talent management",Pro
"Recruitment director, HR team",Pro
"Talent acquisition operations lead",Pro
"Senior HR operations manager",Pro
"Recruitment executive, reviewing profiles",Pro
"Talent acquisition director at [Tech Firm]",Pro
"Human Resources manager at [Consulting Firm]",Pro
"Talent acquisition partner, recruiting",Pro
"HR lead, recruitment operations",Pro
"Senior recruitment advisor, HR department",Pro
"Talent acquisition officer at [Company]",Pro
"HR director, recruitment operations",Pro
"Recruitment manager at [Company]",Pro
"Talent acquisition lead at [Consulting Firm]",Pro
"Senior recruiter, talent management",Pro
"HR consultant at [Tech Firm]",Pro
"Talent acquisition professional",Pro
"Senior recruitment officer at [Company]",Pro
"HR recruitment manager at [Consultancy]",Pro
"Talent acquisition lead, reviewing profiles",Pro
"Head of HR, recruiting at [Company]",Pro
"Talent manager at [Consulting Firm]",Pro
"Senior HR recruitment consultant",Pro
"Recruitment executive, talent sourcing",Pro
"Talent acquisition officer at [Consultancy]",Pro
"HR director at [Tech Company]",Pro
"Recruitment officer at [Consulting Firm]",Pro
"Senior HR recruitment partner",Pro
"Talent acquisition coordinator at [Tech Firm]",Pro
"HR recruitment advisor at [Company]",Pro
"Talent sourcing executive at [Company]",Pro
"HR manager, talent acquisition",Pro
"Talent coordinator, HR department",Pro
"Recruitment professional at [Consultancy]",Pro
"HR operations advisor",Pro
"Talent acquisition officer, HR team",Pro
"Recruitment director at [Tech Company]",Pro
"Senior talent management lead",Pro
"HR lead at [Company], recruiting",Pro
"Recruitment lead, talent acquisition",Pro
"Senior HR recruitment operations lead",Pro
"Talent acquisition manager at [Company]",Pro
"Human Resources consultant, hiring",Pro
"Recruitment executive at [Tech Firm]",Pro
"Talent acquisition partner at [Consultancy]",Pro
"HR team member at [Consulting Firm]",Pro
"Talent acquisition director, reviewing profiles",Pro
"Recruitment lead at [Tech Startup]",Pro
"HR officer at [Consulting Firm]",Pro
"Talent acquisition consultant at [Company]",Pro
"HR business partner, recruiting",Pro
"Senior recruitment officer at [Consulting Firm]",Pro
"Talent acquisition executive at [Company]",Pro
"Recruitment operations lead, HR team",Pro
"HR, tech firm",Pro
"CEO, finance company",Pro
"Professor of engineering",Pro
"Talent acquisition, retail",Pro
"Manager, IT services",Pro
"CFO at a manufacturing company",Pro
"Human Resources, automotive",Pro
"Marketing Director, fashion industry",Pro
"CTO, software company",Pro
"Research fellow, university",Pro
"Talent Manager, food industry",Pro
"Senior VP, banking",Pro
"Consultant, healthcare",Pro
"Director, legal department",Pro
"Manager, construction firm",Pro
"Human Resources, fintech",Pro
"CIO, logistics company",Pro
"Dean of sciences, university",Pro
"Analyst, finance firm",Pro
"Partner, law firm",Pro
"HR, non-profit organization",Pro
"Sales Manager, pharmaceuticals",Pro
"VP of Operations, media company",Pro
"CTO, government agency",Pro
"Director, energy sector",Pro
"HR, education firm",Pro
"Team leader, e-commerce",Pro
"CFO, telecommunications",Pro
"Executive, aerospace company",Pro
"Director, arts organization",Pro
"Senior Recruiter, IT consulting",Pro
"Principal Investigator, medical research",Pro
"Manager, publishing company",Pro
"CHRO, financial services",Pro
"Founder, startup",Pro
"Director of R&D, biotech firm",Pro
"VP of Sales, consumer goods",Pro
"HR Executive, insurance",Pro
"Principal, architecture firm",Pro
"Head of HR, logistics",Pro
"Head of Legal, tech company",Pro
"Director, transportation firm",Pro
"Professor of business, university",Pro
"Manager, social services organization",Pro
"CHRO, public sector",Pro
"CEO, real estate",Pro
"Director of Talent, advertising firm",Pro
"VP, automotive company",Pro
"VP of HR, software",Pro
"Director, healthcare company",Pro
"Recruitment officer, oil and gas",Pro
"Director of Operations, finance",Pro
"COO, engineering firm",Pro
"CFO, entertainment",Pro
"Head of Research, consumer electronics",Pro
"Senior Analyst, IT",Pro
"Lead engineer, telecommunications",Pro
"VP of Strategy, tech firm",Pro
"Principal Investigator, government research",Pro
"Director, agriculture",Pro
"Founder and CEO, tech startup",Pro
"Head of Finance, e-commerce",Pro
"Lead Developer, software company",Pro
"HR Manager, transportation",Pro
"Consultant, management consulting",Pro
"VP of Finance, hospitality industry",Pro
"Director of Recruitment, energy",Pro
"Senior Scientist, biotechnology",Pro
"COO, education company",Pro
"VP of Engineering, construction",Pro
"CEO, professional services",Pro
"Chief Legal Officer, insurance",Pro
"Head of Marketing, telecom",Pro
"Partner, private equity firm",Pro
"CFO, aerospace",Pro
"Principal Investigator, academic institution",Pro
"Director of Legal, manufacturing",Pro
"Senior HR Officer, social services",Pro
"Senior Consultant, medical consulting",Pro
"Head of Operations, fashion",Pro
"CHRO, sports organization",Pro
"Director, defense contractor",Pro
"VP of Sales, advertising",Pro
"HR Director, tech startup",Pro
"Director of Research, energy sector",Pro
"HR Manager, consumer goods",Pro
"Executive Recruiter, logistics",Pro
"CEO, SaaS company",Pro
"Director, renewable energy company",Pro
"COO, retail chain",Pro
"Senior Consultant, software",Pro
"CFO, pharmaceutical company",Pro
"Managing Director, film industry",Pro
"VP, travel agency",Pro
"Director, hospitality industry",Pro
"Founder, tech accelerator",Pro
"HR Officer, non-profit",Pro
"Director of Recruitment, IT consulting",Pro
"Head of Finance, media company",Pro
"Professor of economics, university",Pro
"CFO, aerospace industry",Pro
"CEO, pharmaceuticals company",Pro
"Dean of engineering, university",Pro
"HR Officer, construction firm",Pro
"Director, logistics company",Pro
"Senior VP, automotive",Pro
"HR Manager, food services",Pro
"COO, energy sector",Pro
"Research fellow, academic institution",Pro
"Talent acquisition, manufacturing firm",Pro
"Senior VP of Marketing, media",Pro
"Director of Finance, retail",Pro
"Recruitment lead, IT firm",Pro
"Senior Analyst, insurance company",Pro
"Professor of physics, research university",Pro
"Head of Legal, pharmaceuticals",Pro
